Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
1.4 TSi BlueMotion Trendline	 74.750 TL 	2011	1390 cc	131.650 km	Benzin	Passat	Sahibinden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263853	BALIKESİR / KARESİ / MERKEZ	
2.0 Trend	 40.000 TL 	2005	1999 cc	167.000 km	LPG & Benzin	Mondeo	Sahibinden	Ford	Takasa Uygun Değil	Belirtilmemiş	Otomatik	14 Eylül 2019	12265217	ANKARA / KEÇİÖREN / UFUKTEPE MAHALLESİ	
1.3 Multijet Easy	 64.000 TL 	2016	1201 - 1400 cm3	115.000 km	Dizel	Egea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264849	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
1.3 Multijet Easy	 76.500 TL 	2017	1201 - 1400 cm3	93.000 km	Dizel	Egea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265381	İSTANBUL / SULTANGAZİ / CEBECİ MAHALLESİ	
1.3 CDTI Enjoy	 36.000 TL 	2008	1248 cc	175.000 km	Dizel	Corsa	Sahibinden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264123	ANTALYA / AKSU / BARBAROS MAHALLESİ	
E	 37.000 TL 	1990	1801 - 2000 cm3	301.000 km	LPG & Benzin	200	Sahibinden	Mercedes - Benz	Takasa Uygun	1 değişen, 12 boyalı	Otomatik	14 Eylül 2019	12265782	İZMİR / KARŞIYAKA / BAHÇELİEVLER MAHALLESİ	
1.4 Authentique	 28.300 TL 	2004	1390 cc	200 km	LPG & Benzin	Clio	Sahibinden	Renault	Takasa Uygun	1 değişen, 1 boyalı	Düz	14 Eylül 2019	12264547	İZMİR / BAYRAKLI / GÜMÜŞPALA MAHALLESİ	
1.5	 13.250 TL 	2005	1499 cc	123.456 km	LPG & Benzin	Vega	Galeriden	Lada	Takasa Uygun	Belirtilmemiş	Düz	11 Eylül 2019	12108987	İZMİR / GAZİEMİR / BEYAZEVLER MAHALLESİ	
1.5 dCi Joy	 55.000 TL 	2013	1461 cc	216.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	1 boyalı	Düz	10 Eylül 2019	12228246	GAZİANTEP / ŞEHİTKAMİL / KARACAAHMET MAHALLESİ	
520d Premium	 159.000 TL 	2012	1995 cc	270.000 km	Dizel	5 Serisi	Galeriden	BMW	Takasa Uygun Değil	2 boyalı	Otomatik	14 Eylül 2019	12265321	GAZİANTEP / ŞEHİTKAMİL / KARACAAHMET MAHALLESİ	
1.4 CRDi Style	 80.000 TL 	2017	1396 cc	92.312 km	Dizel	i20	Yetkili Bayiden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263707	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.6 Enjoy 111.Yıl	 62.000 TL 	2012	1598 cc	120.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263582	KÜTAHYA / MERKEZ / FUATPAŞA MAHALLESİ	
1.4 Enjoy	 46.500 TL 	2008	1201 - 1400 cm3	162.000 km	Benzin	Corsa	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12231178	ANTALYA / MURATPAŞA / CUMHURİYET MAHALLESİ	
1.5 dCi Icon	 82.750 TL 	2015	1461 cc	103.218 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun Değil	2 değişen	Yarı Otomatik	13 Eylül 2019	12264175	İSTANBUL / PENDİK / KAYNARCA MAHALLESİ	
1.5 dCi Joy	 60.500 TL 	2015	1461 cc	87.000 km	Dizel	Clio	Sahibinden	Renault	Takasa Uygun Değil	1 değişen, 1 boyalı	Düz	14 Eylül 2019	12265765	ANTALYA / KEPEZ / GÜNDOĞDU MAHALLESİ	
1.4 Trendy	 35.750 TL 	2006	1360 cc	173.500 km	Benzin	207	Sahibinden	Peugeot	Takasa Uygun Değil	5 boyalı	Düz	14 Eylül 2019	12265419	İSTANBUL / KÜÇÜKÇEKMECE / ATAKENT MAHALLESİ	
1.2 TSi Midline Plus	 84.750 TL 	2012	1197 cc	93.000 km	Benzin	Golf	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265396	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.33 Life	 77.500 TL 	2017	1329 cc	20.000 km	Benzin	Corolla	Galeriden	Toyota	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264594	ESKİŞEHİR / ODUNPAZARI / SULTANDERE 75. YIL MAHALLESİ	
1.6 Comfort	 38.500 TL 	2004	1598 cc	287.000 km	LPG & Benzin	Vectra	Sahibinden	Opel	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12264295	HATAY / KIRIKHAN / MİMAR SİNAN MAHALLESİ	
1.6 D Dynamic	 67.000 TL 	2010	1560 cc	218.000 km	Dizel	S40	Galeriden	Volvo	Takasa Uygun	2 boyalı	Düz	14 Eylül 2019	12265390	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.3 CDTI Cosmo	 78.500 TL 	2012	1248 cc	98.000 km	Dizel	Astra	Sahibinden	Opel	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265092	ANTALYA / MANAVGAT / BELENOBASI MAHALLESİ	
1.9 TDI Style	 41.000 TL 	2004	1896 cc	235.000 km	Dizel	Altea	Sahibinden	Seat	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264083	MERSİN / AKDENİZ / İHSANİYE MAHALLESİ	
1.6 Trendline	 59.900 TL 	2006	1401 - 1600 cm3	190.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Otomatik	14 Eylül 2019	12262287	ADANA / ÇUKUROVA / BEYAZEVLER MAHALLESİ	
1.4 TSi BlueMotion Comfortline	 72.500 TL 	2012	1390 cc	175.000 km	Benzin	Passat	Sahibinden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263737	SAKARYA / ADAPAZARI / KORUCUK MAHALLESİ	
1.5 dCi Stepway	 51.500 TL 	2013	1461 cc	89.000 km	Dizel	Sandero	Sahibinden	Dacia	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264744	ÇANKIRI / MERKEZ / BUĞDAY PAZARI MAHALLESİ	
1.6 GDi Style	 67.500 TL 	2014	1591 cc	100.000 km	LPG & Benzin	i30	Sahibinden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264246	KAHRAMANMARAŞ / ONİKİŞUBAT / SÜMBÜLLÜ MAHALLESİ	
1.6 HDi Attraction	 55.750 TL 	2016	1560 cc	113.000 km	Dizel	C-Elysee	Galeriden	Citroen	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265247	DÜZCE / MERKEZ / AZİZİYE MAHALLESİ	
1.6	 20.000 TL 	1997	1598 cc	162.000 km	Benzin	Polo	Sahibinden	Volkswagen	Takasa Uygun Değil	1 değişen, 12 boyalı	Düz	14 Eylül 2019	12264639	ANTALYA / MANAVGAT / SANAYİ MAHALLESİ	
1.6 CDTI Design	 129.000 TL 	2017	1598 cc	92.000 km	Dizel	Insignia	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12263745	İZMİR / BUCA / İNÖNÜ MAHALLESİ	
1.5 dCi Dynamique	 35.700 TL 	2009	1461 cc	179.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265020	AYDIN / NAZİLLİ / NAZİLLİ OSB	
1.2 Titanium	 38.000 TL 	2009	1242 cc	77.300 km	Benzin	Ka	Galeriden	Ford	Takasa Uygun	1 değişen, 4 boyalı	Düz	14 Eylül 2019	12265344	BURSA / NİLÜFER / YÜZÜNCÜYIL MAHALLESİ	
1.6 Midline	 77.500 TL 	2015	1401 - 1600 cm3	123.000 km	Dizel	Golf	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265596	İSTANBUL / SANCAKTEPE / EYÜP SULTAN MAHALLESİ	
1.6 Trendline	 59.900 TL 	2006	1401 - 1600 cm3	190.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Otomatik	14 Eylül 2019	12262154	İZMİR / ÇİĞLİ / ÇAĞDAŞ MAHALLESİ	
1.5 CRDi Start	 34.900 TL 	2010	1493 cc	325.000 km	Dizel	Accent Era	Galeriden	Hyundai	Takasa Uygun Değil	3 değişen, 3 boyalı	Düz	13 Eylül 2019	12264201	İZMİR / BAYRAKLI / BAYRAKLI MAHALLESİ	
Grande 1.4 Fire Active	 37.600 TL 	2009	1368 cc	163.000 km	LPG & Benzin	Punto	Sahibinden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12264038	İZMİR / TORBALI / TORBALI MAHALLESİ	
C 180 BlueEFFICIENCY AMG	 97.000 TL 	2010	1401 - 1600 cm3	197.500 km	Benzin	C	Galeriden	Mercedes - Benz	Takasa Uygun	1 değişen	Otomatik	14 Eylül 2019	12265337	SAKARYA / ADAPAZARI / TUZLA MAHALLESİ	
1.5 CRDi Select	 46.000 TL 	2011	1493 cc	95.000 km	Dizel	Accent Era	Galeriden	Hyundai	Takasa Uygun	1 değişen, 3 boyalı	Düz	14 Eylül 2019	12265573	İSTANBUL / BAĞCILAR / GÖZTEPE MAHALLESİ	
1.5 dCi Joy	 47.950 TL 	2013	1461 cc	165.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265186	ANTALYA / KEPEZ / KANAL MAHALLESİ	
1.5 TDCi Titanium	 106.900 TL 	2016	1499 cc	121.684 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun Değil	3 boyalı	Yarı Otomatik	13 Eylül 2019	12264697	İZMİR / GAZİEMİR / MERKEZ	
1.6 LS	 47.500 TL 	2011	1598 cc	160.000 km	Benzin	Cruze	Galeriden	Chevrolet	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264777	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
1.5 dCi Stepway	 66.500 TL 	2014	1461 cc	136.700 km	Dizel	Sandero	Galeriden	Dacia	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264386	MUĞLA / FETHİYE / TUZLA MAHALLESİ	
1.5 dCi Sport Tourer Expression	 53.750 TL 	2012	1461 cc	188.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264417	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 134.950 TL 	2015	1401 - 1600 cm3	110.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	2 boyalı	Yarı Otomatik	13 Eylül 2019	12265201	ANTALYA / KEPEZ / KANAL MAHALLESİ	
1.6 i-VTEC ES	 34.999 TL 	2001	1590 cc	310.000 km	Benzin	Civic	Galeriden	Honda	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265618	KOCAELİ / İZMİT / KARADENİZLİLER MAHALLESİ	
1.5 dCi Touch Plus	 55.000 TL 	2013	1401 - 1600 cm3	260.000 km	Dizel	Fluence	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264036	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 TDi Comfortline	 101.500 TL 	2015	1401 - 1600 cm3	156.000 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264769	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
2.0 CD	 24.500 TL 	1999	1998 cc	220.000 km	LPG & Benzin	Vectra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	10839273	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
2.0 CD	 24.250 TL 	1996	1801 - 2000 cm3	252.000 km	Benzin	Vectra	Galeriden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265435	DENİZLİ / SARAYKÖY / BEYLERBEYİ MAHALLESİ	
1.6	 57.500 TL 	2005	1596 cc	98.000 km	Benzin	S40	Sahibinden	Volvo	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265099	İSTANBUL / SULTANBEYLİ / TURGUT REİS MAHALLESİ	
1.3 Multijet EL	 30.500 TL 	2005	1248 cc	209.000 km	Dizel	Palio	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	05 Eylül 2019	11726243	KARABÜK / SAFRANBOLU / BARIŞ MAHALLESİ	
350 350 CDI L	 317.500 TL 	2011	2501 - 3000 cm3	270.000 km	Dizel	S	Galeriden	Mercedes - Benz	Takasa Uygun Değil	5 boyalı	Otomatik	13 Eylül 2019	12265100	ANKARA / ÇANKAYA / ÜMİT MAHALLESİ	
1.4 Fire Urban Plus	 77.000 TL 	2017	1368 cc	33.000 km	Benzin	Egea	Sahibinden	Fiat	Takasa Uygun	Tamamı orjinal	Düz	13 Eylül 2019	12263892	BURSA / OSMANGAZİ / HAMİTLER MAHALLESİ	
1.4 TSi	 112.000 TL 	2015	1390 cc	73.000 km	Benzin	VW CC	Sahibinden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265791	İSTANBUL / BAYRAMPAŞA / YENİDOĞAN MAHALLESİ	
1.5 dCi Authentique	 39.500 TL 	2011	220.000 km	Dizel	Symbol	Sahibinden	Renault	Takasa Uygun Değil	1 boyalı	Düz	13 Eylül 2019	12263657	İZMİR / BUCA / YILDIZ MAHALLESİ	
1.5 CRDi Trend	 38.500 TL 	2010	1493 cc	195.000 km	Dizel	Rio	Sahibinden	Kia	Takasa Uygun Değil	1 değişen, 3 boyalı	Düz	14 Eylül 2019	12264671	İSTANBUL / KARTAL / YAKACIK YENİ MAHALLESİ	
525d xDrive Comfort	 194.000 TL 	2012	1801 - 2000 cm3	196.000 km	Dizel	5 Serisi	Galeriden	BMW	Takasa Uygun	4 boyalı	Yarı Otomatik	14 Eylül 2019	11532182	AKSARAY / MERKEZ / ARATOL BAHÇELİ MAHALLESİ	
1.6 RTE	 29.500 TL 	2000	1598 cc	300.000 km	LPG & Benzin	Megane	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12137269	ÇORUM / MERKEZ / BUHARAEVLER MAHALLESİ	
1.6 TDi Comfortline	 77.500 TL 	2011	1598 cc	63.000 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun Değil	2 değişen, 6 boyalı	Yarı Otomatik	12 Eylül 2019	12120683	KİLİS / MERKEZ / ŞEHİT SAKIP MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 87.000 TL 	2011	1598 cc	180.000 km	Dizel	Passat	Sahibinden	Volkswagen	Takasa Uygun Değil	3 boyalı	Düz	13 Eylül 2019	12263685	ADANA / CEYHAN / NAMIK KEMAL MAHALLESİ	
1.3 Multijet Easy	 63.500 TL 	2016	1248 cc	144.216 km	Dizel	Egea	Yetkili Bayiden	Fiat	Takasa Uygun Değil	Tamamı orjinal	Düz	13 Eylül 2019	12264099	ANKARA / YENİMAHALLE / ÇAMLICA MAHALLESİ	
Toros	 13.500 TL 	1991	1397 cc	150.000 km	LPG & Benzin	R 12	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263744	TOKAT / MERKEZ / DEVEGÖRMEZ MAHALLESİ	
1.6 Trend	 48.000 TL 	2011	1596 cc	162.000 km	Benzin	Mondeo	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265144	İZMİR / BUCA / ATATÜRK MAHALLESİ	
1.6 T Cosmo	 68.500 TL 	2010	1598 cc	172.000 km	LPG & Benzin	Insignia	Galeriden	Opel	Takasa Uygun Değil	2 boyalı	Düz	20 Ağustos 2019	12088629	SAMSUN / İLKADIM / DERECİK MAHALLESİ	
1.6 XR	 27.500 TL 	2003	1587 cc	210.000 km	LPG & Benzin	307	Sahibinden	Peugeot	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264176	ADANA / YÜREĞİR / ATAKENT MAHALLESİ	
1.4 Twinport Enjoy 111	 64.000 TL 	2011	1364 cc	89.000 km	Benzin	Corsa	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12263590	KÜTAHYA / MERKEZ / FUATPAŞA MAHALLESİ	
1.6 CRDi Concept	 65.500 TL 	2012	1582 cc	162.000 km	Dizel	Ceed	Sahibinden	Kia	Takasa Uygun Değil	2 boyalı	Düz	14 Eylül 2019	12264193	İSTANBUL / PENDİK / ORHANGAZİ MAHALLESİ	
1.5 dCi Icon	 129.900 TL 	2018	1401 - 1600 cm3	1.510 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	10 Eylül 2019	12020986	ARTVİN / YUSUFELİ / MERKEZ	
1.6 TDi BlueMotion Trendline	 129.500 TL 	2015	1401 - 1600 cm3	115.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264983	İSTANBUL / SARIYER / MASLAK MAHALLESİ	
320d xDrive Premium Line	 315.000 TL 	2018	1801 - 2000 cm3	5.876 km	Dizel	3 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264996	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
1.6 TDCi Trend X	 74.900 TL 	2014	1560 cc	148.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263852	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
200 Avantgarde	 97.500 TL 	2006	1601 - 1800 cm3	416.000 km	Benzin	E	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265503	KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ	
1.6 TDI Style	 117.500 TL 	2017	1598 cc	76.000 km	Dizel	Leon	Sahibinden	Seat	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	12264472	BATMAN / MERKEZ / ERKÖKLÜ KÖYÜ	
1.6 TDCi Trend	 46.500 TL 	2007	1560 cc	151.000 km	Dizel	Focus	Sahibinden	Ford	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265261	ANKARA / YENİMAHALLE / ÇİĞDEMTEPE MAHALLESİ	
1.6 Europa RTE	 36.000 TL 	2001	1601 - 1800 cm3	86.000 km	Benzin	R 19	Sahibinden	Renault	Takasa Uygun Değil	2 değişen, 3 boyalı	Düz	14 Eylül 2019	12264343	İSTANBUL / KARTAL / GÜMÜŞPINAR MAHALLESİ	
1.6 i-VTEC Elegance	 68.000 TL 	2012	1595 cc	95.000 km	Benzin	Civic	Galeriden	Honda	Takasa Uygun	4 boyalı	Otomatik	13 Eylül 2019	12263957	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.2 HL Speedgear	 33.750 TL 	2004	1242 cc	225.450 km	LPG & Benzin	Palio	Sahibinden	Fiat	Takasa Uygun Değil	2 değişen, 3 boyalı	Yarı Otomatik	14 Eylül 2019	12265127	ADIYAMAN / MERKEZ / SÜMEREVLER MAHALLESİ	
2.0 LE	 39.500 TL 	1989	2000 cc	102.000 km	Benzin	Sunbird	Sahibinden	Pontiac	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12264935	BOLU / MERKEZ / BORAZANLAR MAHALLESİ	
316i Standart	 23.000 TL 	1994	1596 cc	330.000 km	LPG & Benzin	3 Serisi	Galeriden	BMW	Takasa Uygun Değil	Belirtilmemiş	Düz	12 Eylül 2019	12132705	MALATYA / YEŞİLYURT / YAKINCA MAHALLESİ	
1.3 Multijet Easy	 49.000 TL 	2014	1248 cc	159.000 km	Dizel	Linea	Sahibinden	Fiat	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12264833	YOZGAT / MERKEZ / ÇAPANOĞLU MAHALLESİ	
1.6 HDi Premium	 41.000 TL 	2008	1401 - 1600 cm3	255.000 km	Dizel	207	Galeriden	Peugeot	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264567	ANTALYA / MURATPAŞA / ETİLER MAHALLESİ	
2.0 D5 Inscription	 425.000 TL 	2017	1969 cc	23.000 km	Dizel	S90	Yetkili Bayiden	Volvo	Takasa Uygun	1 değişen	Otomatik	13 Eylül 2019	12263903	ANKARA / YENİMAHALLE / İNÖNÜ MAHALLESİ	
2.0 TDI Trendline	 89.000 TL 	2012	207.000 km	Dizel	Caravelle	Galeriden	Volkswagen	4x2 (Arkadan İtişli)	Belirtilmemiş	Düz	14 Eylül 2019	Takasa Uygun	12265658	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 79.300 TL 	2014	1598 cc	169 km	Dizel	Golf	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	04 Eylül 2019	12188839	AFYONKARAHİSAR / SİNANPAŞA / AKÖREN BELDESİ (BAĞDAT MAHALLESİ)	
1.6 GL	 20.000 TL 	1996	1598 cc	157.000 km	LPG & Benzin	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	11540245	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
SL	 11.900 TL 	1992	1581 cc	90.000 km	LPG & Benzin	Doğan	Sahibinden	Tofaş	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264891	ANKARA / KEÇİÖREN / ÇALDIRAN MAHALLESİ	
1.5 dCi Sportway	 29.999 TL 	2006	1461 cc	340.000 km	Dizel	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12237827	ANTALYA / MANAVGAT / YUKARIIŞIKLAR MAHALLESİ	
1.4 Comfort	 28.750 TL 	2001	1389 cc	150.000 km	LPG & Benzin	Corsa	Galeriden	Opel	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12137253	ÇORUM / MERKEZ / MİMAR SİNAN MAHALLESİ	
1.6 CRDi Style Plus	 109.500 TL 	2017	1582 cc	38.000 km	Dizel	Elantra	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264323	ANKARA / AKYURT / SARACALAR MAHALLESİ	
4S	 440.000 TL 	2011	4501 - 5000 cm3	72.077 km	Benzin	Panamera	Galeriden	Porsche	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12265062	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
1.5 dCi Sport Tourer Privilege	 48.000 TL 	2010	1461 cc	190.000 km	Dizel	Megane	Sahibinden	Renault	Takasa Uygun Değil	3 boyalı	Düz	13 Eylül 2019	12263728	ANTALYA / MURATPAŞA / CUMHURİYET MAHALLESİ	
C 200 BlueTEC AMG	 277.000 TL 	2017	1598 cc	19.820 km	Dizel	C	Galeriden	Mercedes - Benz	Takasa Uygun Değil	Belirtilmemiş	Otomatik	14 Eylül 2019	12265478	İSTANBUL / ŞİŞLİ / TEŞVİKİYE MAHALLESİ	
1.6 Reference	 35.000 TL 	2006	1595 cc	200.000 km	LPG & Benzin	Leon	Galeriden	Seat	Takasa Uygun	1 değişen	Düz	12 Eylül 2019	11252718	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.4 T-Jet	 56.500 TL 	2010	1368 cc	155.000 km	LPG & Benzin	Delta	Sahibinden	Lancia	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264241	UŞAK / MERKEZ / KEMALÖZ MAHALLESİ	
1.4 HDi SX	 28.500 TL 	2005	1398 cc	324.000 km	Dizel	C3	Sahibinden	Citroen	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12264125	ANKARA / ALTINDAĞ / ALTINPARK MAHALLESİ	
1.6 TDI Ambition	 62.500 TL 	2012	1598 cc	185.000 km	Dizel	Octavia	Galeriden	Skoda	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264011	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.4 Sport	 73.000 TL 	2014	1339 cc	23.000 km	Benzin	Civic	Sahibinden	Honda	Takasa Uygun Değil	2 değişen	Düz	14 Eylül 2019	12264300	ADANA / SEYHAN / SUCUZADE MAHALLESİ	
180 D AMG	 154.000 TL 	2014	1401 - 1600 cm3	96.000 km	Dizel	CLA	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265625	KOCAELİ / İZMİT / KARADENİZLİLER MAHALLESİ	
C 220 D Esprit	 45.000 TL 	1995	2001 - 2500 cm3	224.000 km	Dizel	C	Galeriden	Mercedes - Benz	Takasa Uygun Değil	Belirtilmemiş	Otomatik	13 Eylül 2019	12265116	ANKARA / ÇANKAYA / ÜMİT MAHALLESİ	
1.6 EX Comfort	 43.900 TL 	2009	1591 cc	255.000 km	Benzin	Cerato	Galeriden	Kia	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264951	ANTALYA / ALANYA / MAHMUTLAR MAHALLESİ	
1.4 TDCi Comfort	 37.500 TL 	2007	1399 cc	218.000 km	Dizel	Fiesta	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265374	ANTALYA / KEPEZ / YEŞİLYURT MAHALLESİ	
1.5 TDCi Trend X	 68.750 TL 	2015	1401 - 1600 cm3	68.000 km	Dizel	Fiesta	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263901	BALIKESİR / HAVRAN / CAMİİKEBİR MAHALLESİ	
1.5 dCi SportTourer Joy	 69.000 TL 	2017	1401 - 1600 cm3	65.000 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265473	KIRIKKALE / MERKEZ / YENİMAHALLE MAHALLESİ	
1.6 Comfort	 34.500 TL 	2001	1596 cc	215.000 km	LPG & Benzin	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263676	ÇORUM / MERKEZ / ULUKAVAK MAHALLESİ	
1.6 CRDI Mode Plus	 76.500 TL 	2016	1401 - 1600 cm3	72.000 km	Dizel	Accent Blue	Galeriden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264496	İSTANBUL / ŞİŞLİ / YAYLA MAHALLESİ	
1.5 DI-D Inform	 31.750 TL 	2006	1493 cc	248.000 km	Dizel	Colt	Galeriden	Mitsubishi	Takasa Uygun	6 boyalı	Düz	13 Eylül 2019	11969871	BURSA / OSMANGAZİ / SOĞANLI MAHALLESİ	
