Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
1.6 TDi Trendline	 88.500 TL 	2014	1401 - 1600 cm3	72.500 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun Değil	1 değişen	Yarı Otomatik	13 Eylül 2019	12264892	İSTANBUL / TUZLA / EVLİYA ÇELEBİ MAHALLESİ	
1.5 dCi Joy	 79.900 TL 	2018	1461 cc	16.685 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Düz	13 Eylül 2019	12264652	MANİSA / ŞEHZADELER / 2. ANAFARTALAR MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 153.500 TL 	2016	1401 - 1600 cm3	29.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Tamamı orjinal	Düz	09 Eylül 2019	12229447	YOZGAT / YERKÖY / SELÇUK MAHALLESİ	
2.0 D4 Advance	 179.900 TL 	2013	99.270 km	Dizel	XC60	Galeriden	Volvo	Takasa Uygun Değil	3 boyalı	Otomatik	13 Eylül 2019	12264677	İZMİR / GAZİEMİR / MERKEZ	
1.6 TDi BlueMotion Comfortline	 134.000 TL 	2015	1401 - 1600 cm3	93.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265520	ANKARA / AKYURT / SARACALAR MAHALLESİ	
520i Comfort	 95.000 TL 	2005	2001 - 2500 cm3	107.376 km	Benzin	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264981	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
1.6 FSi Midline	 42.000 TL 	2007	1598 cc	269.000 km	LPG & Benzin	Golf	Galeriden	Volkswagen	Takasa Uygun	2 değişen, 1 boyalı	Düz	03 Ağustos 2019	11992225	ELAZIĞ / MERKEZ / ATAŞEHİR MAHALLESİ	
350 CDI Premium	 198.000 TL 	2010	2501 - 3000 cm3	206.000 km	Dizel	E	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	09 Eylül 2019	12228410	İSTANBUL / PENDİK / ŞEYHLİ MAHALLESİ	
1.3 Multijet Pop	 47.950 TL 	2015	1201 - 1400 cm3	161.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265254	DÜZCE / MERKEZ / AKINLAR MAHALLESİ	
1.3 D LS	 49.900 TL 	2012	1248 cc	53.000 km	Dizel	Aveo	Yetkili Bayiden	Chevrolet	Takasa Uygun	1 değişen	Düz	13 Eylül 2019	12263761	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.3 CL	 14.750 TL 	1998	1299 cc	220.000 km	LPG & Benzin	Escort	Galeriden	Ford	Takasa Uygun Değil	10 boyalı	Düz	13 Eylül 2019	12263749	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
1.6 Trend X	 65.750 TL 	2014	1401 - 1600 cm3	167.000 km	Benzin	Focus	Galeriden	Ford	Takasa Uygun	1 değişen, 5 boyalı	Düz	14 Eylül 2019	12265499	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
Sole 1.4 Fire Active	 20.800 TL 	2008	1368 cc	200.000 km	Benzin	Albea	Galeriden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264332	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
1.6 Edition Plus	 63.750 TL 	2017	1401 - 1600 cm3	60.000 km	Benzin	Astra	Galeriden	Opel	Takasa Uygun	4 boyalı	Düz	10 Eylül 2019	12229505	DİYARBAKIR / YENİŞEHİR / FABRİKA MAHALLESİ	
A4 Sedan 2.0 TDI	 135.000 TL 	2014	1801 - 2000 cm3	120.000 km	Dizel	A4	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265219	İSTANBUL / ESENYURT / GÖKEVLER MAHALLESİ	
1.2 TDi Trendline	 58.750 TL 	2014	1199 cc	117.500 km	Dizel	Polo	Sahibinden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265004	ANKARA / KEÇİÖREN / AYVALI MAHALLESİ	
1.4 Ambiance	 38.800 TL 	2010	1390 cc	230.000 km	LPG & Benzin	Sandero	Sahibinden	Dacia	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264716	KAYSERİ / KOCASİNAN / ZÜMRÜT MAHALLESİ	
1.6 TDi BlueMotion Highline	 101.500 TL 	2016	1598 cc	48.000 km	Dizel	Golf	Sahibinden	Volkswagen	Takasa Uygun Değil	2 değişen	Yarı Otomatik	14 Eylül 2019	12265599	İSTANBUL / ÇEKMEKÖY / EKŞİOĞLU MAHALLESİ	
1.5 dCi Icon	 75.000 TL 	2014	1461 cc	87.000 km	Dizel	Fluence	Sahibinden	Renault	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12263997	ŞANLIURFA / KARAKÖPRÜ / DOĞUKENT MAHALLESİ	
1.6 Touring	 52.750 TL 	2010	1598 cc	169.000 km	Benzin	3	Galeriden	Mazda	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264453	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
1.6 i-VTEC Elegance	 64.999 TL 	2010	1595 cc	169.000 km	Benzin	Civic	Galeriden	Honda	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12237809	ANTALYA / MANAVGAT / YUKARIIŞIKLAR MAHALLESİ	
1.5 dCi Joy	 32.500 TL 	2014	1461 cc	620.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264192	İSTANBUL / MALTEPE / ALTAYÇEŞME MAHALLESİ	
1.5 dCi Joy	 62.900 TL 	2015	1461 cc	75.300 km	Dizel	Clio	Yetkili Bayiden	Renault	Takasa Uygun	3 boyalı	Düz	13 Eylül 2019	12263821	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
A6 Avant 2.4	 38.500 TL 	2001	2393 cc	375.000 km	LPG & Benzin	A6	Sahibinden	Audi	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263748	ERZURUM / TORTUM / MEYDANLAR MAHALLESİ	
1.4 Joy	 47.750 TL 	2011	1339 cc	110.000 km	Benzin	Jazz	Galeriden	Honda	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265644	ANKARA / AKYURT / SARACALAR MAHALLESİ	
520i M Sport	 245.000 TL 	2014	1401 - 1600 cm3	127.000 km	Benzin	5 Serisi	Galeriden	BMW	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	11753952	KAYSERİ / KOCASİNAN / YILDIZEVLER MAHALLESİ	
1.2 TSI Style	 39.900 TL 	2012	1197 cc	260.000 km	Benzin	Leon	Galeriden	Seat	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	12253331	İSTANBUL / BAĞCILAR / 100. YIL MAHALLESİ	
1.5 TDCi Titanium	 102.900 TL 	2016	1401 - 1600 cm3	91.500 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	1 değişen	Yarı Otomatik	14 Eylül 2019	12265331	KOCAELİ / GEBZE / KÖŞKLÜ ÇEŞME MAHALLESİ	
1.6 TDCi Collection	 45.250 TL 	2006	1560 cc	225.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265602	DENİZLİ / MERKEZEFENDİ / HACIEYÜPLÜ MAHALLESİ	
1.6 TDI Style	 97.500 TL 	2016	1598 cc	99.000 km	Dizel	Leon	Galeriden	Seat	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263940	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.2 TSi Comfortline	 76.000 TL 	2016	1197 cc	62.000 km	Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265211	KÜTAHYA / MERKEZ / FUATPAŞA MAHALLESİ	
1.5 dCi Expression	 30.000 TL 	2009	1461 cc	208.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	11540188	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.4 TSI Style	 64.750 TL 	2011	1390 cc	132.000 km	Benzin	Leon	Sahibinden	Seat	Takasa Uygun Değil	1 değişen	Düz	13 Eylül 2019	12264108	BURSA / YILDIRIM / DEMETEVLER MAHALLESİ	
320i ED M Plus	 182.000 TL 	2014	1401 - 1600 cm3	72.300 km	Benzin	3 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265357	BURSA / NİLÜFER / YÜZÜNCÜYIL MAHALLESİ	
1.6	 21.500 TL 	1999	1598 cc	290.000 km	LPG & Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12191821	ÇORUM / MERKEZ / BUHARAEVLER MAHALLESİ	
1.6 TDCi Titanium X	 67.500 TL 	2009	1560 cc	146.000 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265466	İZMİR / GAZİEMİR / BEYAZEVLER MAHALLESİ	
2.0 TDi BlueMotion Highline	 119.900 TL 	2013	1968 cc	159.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265562	ŞANLIURFA / HALİLİYE / PAŞABAĞI MAHALLESİ	
A5 Coupe 2.0 TDI	 147.500 TL 	2012	1801 - 2000 cm3	138.720 km	Dizel	A5	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	10 Eylül 2019	12239394	İSTANBUL / KADIKÖY / BOSTANCI MAHALLESİ	
1.5 dCi Touch	 59.000 TL 	2013	1461 cc	145.800 km	Dizel	Fluence	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265218	KOCAELİ / ÇAYIROVA / ÖZGÜRLÜK MAHALLESİ	
1.5 dCi Touch	 56.500 TL 	2014	1461 cc	119.300 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264400	MUĞLA / FETHİYE / TUZLA MAHALLESİ	
1.4 TSi	 102.000 TL 	2013	1201 - 1400 cm3	139.000 km	Benzin	VW CC	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264131	ANTALYA / MURATPAŞA / YEŞİLBAHÇE MAHALLESİ	
1.4 Trendline	 36.000 TL 	2005	1390 cc	170.000 km	LPG & Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun Değil	4 değişen	Düz	07 Eylül 2019	12219583	ANKARA / ETİMESGUT / YAPRACIK MAHALLESİ	
